Nazwa	Skrót	Segment
01CYBATON	01C	NC Base
 2CPARTNER /Z/1	2CP	NC Alert
4MASS	4MS	NC Base
4MOBILITY	4MB	NC Base
7FIT	7FT	NC Focus
7LEVELS	7LV	NC Base
AALLIANCE	AAS	NC Base
ABAK	ABK	NC Focus
ABSINVEST	AIN	NC Focus
ACARTUS	ACA	NC Focus
ACKERMAN	ACK	NC Base
ACREBIT	ACR	NC Base
ADATEX	ADX	NC Base
ADVERTIGO	AVE	NC Focus
AERFINANC	AER	NC Alert
AFHOL	AFH	NC Base
AGROLIGA	AGL	NC Focus
AGROMEP	AGP	NC Focus
AITON	AIT	NC Focus
AKCEPTFIN	AFC	NC Base
ALDA	ALD	NC Focus
ALEJA /Z	ALS	NC Alert
ALUMAST	ALU	NC Base
ANALIZY	AOL	NC Base
APANET	APA	NC Alert
APIS	ASA	NC Base
APOLLO	APC	NC Base
APS	APS	NC Base
AQUABB	AQU	NC Focus
AQUAPOZ	AQA	NC Focus
 AQUATECH/1	AQT	NC Alert
ARENAPL	ARE	NC Base
ARI	ARI	NC Alert
ARRINERA /Z	ARX	NC Alert
ARTGAMES	ARG	NC Base
ARTP	TYP	NC Base
ASTRO	ASR	NC Base
ATCCARGO	ATA	NC Focus
 ATONHT/7	ATO	NC Alert
 AUTOSPA/9	ASP	NC Alert
AUXILIA	AUX	NC Base
AVATRIX	AVT	NC Base
AZTEC	AZC	NC Focus
 BALTICINV /Z/6	BCI	NC Alert
BALTICON	BLT	NC Focus
BBINWEST	BBA	NC Focus
BERGHOLDI	BRH	NC Base
BETOMAX	BTX	NC Base
BINARY	BHX	NC Base
BIOERG	BER	NC Base
BIOFACTOR	BFC	NC Base
BIOGENED	BGD	NC Focus
BIOMASS	BEP	NC Base
BIOMAXIMA	BMX	NC Base
BIOPLANET	BIP	NC Focus
BIZTECH	BTK	NC Focus
BLACKPOIN	BPN	NC Focus
BLIRT	BLR	NC Focus
BLKCHNLAB	BTC	NC Base
BLOOBER	BLO	NC Focus
BLUETAX	BTG	NC Alert
BLUMERANG	BLU	NC Base
BORUTA	BRU	NC Focus
BPC	BPC	NC Base
BPX	BPX	NC Focus
BRAND24	B24	NC Base
BRAS	BSA	NC Base
BROADGATE	BDG	NC Base
BVT	BVT	NC Base
CAMBRIDGE	CAM	NC Alert
CANNABIS	CBD	NC Base
CARBONSTU	CRB	NC Base
CARLSON	CAI	NC Base
CARPATHIA	CRC	NC Focus
CASPAR	CSR	NC Focus
CCS	CCS	NC Focus
CDA	CDA	NC Focus
CENTURION	CTF	NC Base
CEREALPLT	CRP	NC Base
CFG	CFG	NC Base
CFSA	CFS	NC Focus
CHERRY	CHP	NC Base
CIASTZKRA	CZK	NC Base
CLOUD	CLD	NC Base
CMI	CMI	NC Focus
CODEADDIC	CDT	NC Base
COLUMBUS	CLC	NC Base
COMECO	CMC	NC Focus
COPERNIC	CRS	NC Base
CORELENS	COR	NC Base
CREEPYJAR	CRJ	NC Focus
CSY	CSY	NC Base
CTE	CTE	NC Alert
CWPE /Z	CWP	NC Alert
 CZARNKOW/7	BRO	NC Alert
DAMFINW /Z	DIN	NC Base
DANKS	DNS	NC Focus
DBENERGY	DBE	NC Focus
DCD /Z	DCD	NC Alert
DDISTANCE	DDI	NC Focus
DEKTRA	DKR	NC Focus
 DENTAMDC/1,/11	DAM	NC Alert
DETGAMES	DEG	NC Base
DEVORAN	DEV	NC Base
DITIX	DTX	NC Base
DOMLEK	DLK	NC Base
DOOK	DOK	NC Base
DRAGEUS	DRG	NC Base
DRFINANCE	DRF	NC Base
DUALITY	DUA	NC Base
EASYCALL	ECL	NC Base
EC2	EC2	NC Focus
ECCGAMES	ECC	NC Focus
 ECERAMICS /Z/6	ECR	NC Alert
ECOTECH /Z	ECO	NC Alert
EDISON	EDN	NC Base
EFENERGII	EFE	NC Base
EKIOSK	EKS	NC Base
EKOBOX	EBX	NC Base
EKOPARK	EPR	NC Base
EKOPOL	EGH	NC Focus
ELQ	ELQ	NC Base
 EMMERSON /Z/1	EMM	NC Alert
EMONT	ELM	NC Base
EMTASIA	EMA	NC Base
EMUZYKA	EMU	NC Focus
EONET	EON	NC Focus
 ESKIMOS /Z/9	ESK	NC Alert
EUROHIT	ERH	NC Alert
EUROSNACK	ECK	NC Focus
EUROTAX	ETX	NC Alert
EXAMOBILE	EXA	NC Focus
EXCELLENC	EXC	NC Base
EXIMIT	EXM	NC Base
FABRYKAKD /Z	FKD	NC Alert
FALCON	FLG	NC Base
FARM51	F51	NC Base
FHDOM	FHD	NC Focus
FIGENE	FIG	NC Base
 FINHOUSE /Z/1,/9	FIN	NC Alert
FINTECH	FTH	NC Base
FINVENTUR	FIV	NC Base
 FITEN/1,/9	FTN	NC Alert
 FLUID /Z/2	FLD	NC Alert
FOREVEREN	FOR	NC Focus
FORPOSTA	FPO	NC Base
FOTOVOLT	FVE	NC Base
