	Data	Name
0	1997-06-12	06N
1	2010-10-28	11B
2	2010-11-30	4FM
3	2006-09-21	ABE
4	2011-08-11	ACG
5	2006-07-24	ACT
6	2015-05-27	ADV
7	1999-04-20	AGO
8	2010-11-08	AGT
9	2013-01-08	ALG
10	2011-10-12	ALL
11	2014-12-17	AWM
12	2012-12-14	ALR
13	2020-10-12	ALE
14	1999-01-20	AAT
15	2014-07-11	ALI
16	2014-07-17	AML
17	2005-06-22	AMB
18	1997-09-08	AMC
19	2005-04-27	EAT
20	1997-04-24	APT
21	2009-05-25	APN
22	2013-08-08	APE
23	2016-03-22	ARH
24	2009-10-23	ATC
25	2006-12-15	ARR
26	2016-11-17	ART
27	2007-10-30	ASB
28	2013-03-18	ASM
29	2007-11-19	ABS
30	1998-06-02	ACP
31	2009-10-28	ASE
32	2006-08-17	AST
33	2015-06-15	1AT
34	2012-05-28	ATD
35	2005-01-10	ATP
36	1997-06-05	ATS
37	2006-02-24	ATL
38	2004-01-09	ATG
39	2008-12-18	ATR
40	2011-07-08	AUG
41	2016-06-06	APR
42	2008-06-19	BAH
43	1997-06-12	BBD
44	1998-12-08	BDZ
45	2011-04-21	BFT
46	1997-05-30	BST
47	2004-03-02	BCM
48	2016-11-23	BIK
49	2011-07-29	BML
50	2005-03-16	BIO
51	2011-05-27	BNP
52	2009-06-25	LWB
53	2019-05-14	BBT
54	1996-05-20	BRS
55	1997-02-03	BOS
56	2012-01-25	BOW
57	2012-12-20	BRA
58	1995-05-25	BDX
59	2009-01-14	BMC
60	2004-12-02	CCC
61	1994-08-02	CDR
62	2014-10-28	CDL
63	2010-12-23	CPD
64	1999-02-23	CEZ
65	2009-12-22	CFI
66	2005-02-10	CIE
67	2007-11-30	CIG
68	2015-11-16	CTS
69	2016-10-17	CLN
70	1998-11-06	CNT
71	2011-08-04	CLE
72	1997-03-19	COG
73	1999-03-10	CMR
74	2005-01-14	CMP
75	2011-12-05	CPL
76	2008-08-20	CRM
77	2013-12-13	CPG
78	2008-05-06	CPS
79	2012-12-28	CZT
80	2020-12-29	DADA
81	2012-07-20	DAT
82	1994-11-24	DBC
83	2005-06-21	DCR
84	2015-01-08	DEK
85	2009-09-18	DEL
86	2007-06-29	DVL
87	2004-04-20	DGA
88	2011-03-25	DTR
89	2017-04-19	DNP
90	2006-10-24	DOM
91	2004-12-23	DPL
92	1996-03-05	ECH
93	2010-10-27	EDI
94	1993-04-22	EFK
95	2009-07-16	EEX
96	1996-02-09	ELB
97	2007-04-11	ELT
98	2012-07-12	EMT
99	1997-11-28	EKP
100	1998-05-13	ELZ
101	2005-07-29	EMC
102	1997-08-20	ENP
103	2008-11-17	ENA
104	2011-06-14	ENE
105	2013-12-11	ENG
106	2007-09-25	ENI
107	2015-12-14	ENT
108	2007-05-11	ERB
109	2005-02-18	ERG
110	2011-06-16	EAH
111	2011-03-22	EST
112	2010-12-29	EUC
113	2005-02-04	EUR
114	2011-12-15	EHG
115	2006-12-29	ETL
116	2006-08-04	FMF
117	1997-09-25	FSG
118	2013-05-10	FEE
119	2014-11-06	FGT
120	2010-04-14	FRO
121	1997-06-27	FER
122	1999-05-27	FON
123	1996-07-24	FTE
124	2020-04-17	GOP
125	2020-07-24	GIF
126	2020-07-24	GIFA
127	2001-05-10	GTN
128	2007-05-30	GNB
129	2013-07-10	GLC
130	2010-11-09	GPW
131	1998-11-24	GCN
